ID,Text,Label
1,i can currently think of and i hope the next time i look back at this post i will not feel as regretful as how i do now,sadness
2,i didn t enter the random tournaments because i was too busy playing casuals in the other room but i heard plenty of hakans popped out on the selection screen which made me feel a little regretful about not entering,sadness
3,when i applied for the college entrance examination to fuvest,sadness
4,i feel heartbroken for those people whose little ones will never know the joy and excitement of another christmas and for their families for whom christmas will never be the same again,sadness
5,i feel inadequate since i dont know how to fix whats been broken,sadness
6,i send a facebook message to my friend about how weird this all feels and why am i feeling so strongly i am not normally an emotional person,sadness
7,i am scared and my god do i feel alone so completely alone,sadness
8,i feel so hopeless already,sadness
9,i feel really unwelcome by certain people i felt totally comfortable with before,sadness
10,i have this strange feeling that is was horrible and tragic and heartbreaking and that it will haunt him for the rest of his life,sadness
11,i deserve to feel lonely,sadness
12,i have a feeling somehow its going to be a messy year,sadness
13,i recall that when anger drives the mind you will feel regretful,sadness
14,i am feeling lost i might ask to be shown exactly what to do and when to do it,sadness
15,i really would love to be able to run again be able to feel the body aching from the gym and not from the virus i obviously having,sadness
16,i think we feel this way because we do it all the time and it gets boring doing the same things over and over again so we despise it in a way but we know we couldn t live without it and in the end we love the feeling it gives us so i guess you can call that love,sadness
17,ive been helping her in her search and it has opened all sorts of feelings that have been repressed,sadness
18,i feel useless and weak often enough,sadness
19,im probably over thinking and its like no youre not just shut up and stop living in self denial and then finally you relent and feel all horrible for being an idiot until you found out that that tweet was actually meant for her disobedient goldfish or something,sadness
20,i suppose it s partly my fault for forgetting my earplugs but it s still really frustrating to feel like you re being permanently damaged for no apparent reason,sadness
21,i feel disliked and unwant,sadness
22,i stopped eating but now i feel so depressed i cant take it,sadness
23,i feel as the sleep drained from my head i sat up my dog nudging me for affection my wife too has been wanting affection,sadness
24,im sure its horrible feeling so low sometimes but have you considered that it could just be part of being a teenager,sadness
25,im going to feel sorry for my dad,sadness
26,i was feeling reeeeeaaalllly shitty yesterday and didnt run,sadness
27,i might have to take a trip out there in the off season when i m feeling homesick,sadness
28,i swear tear drops came down when i read them cause i feel so needy right now,sadness
29,i still feel listless and i dont want to do anything but i force myself to go to work each day and once i start working usually i feel a bit better,sadness
30,i feel discontent flowing through my veins,sadness
31,i feel bad being a quitter,sadness
32,i am feeling inadequate and i am questioning myself because i tried so hard to make that relationship work and i put a lot of faith in the love we had and he turned to someone else and didnt trust me because he thought i was cheating when all i wanted was him,sadness
33,i feel like i spend hours on grammar drills and vocab flashcards only to draw a blank when faced with a conversation,sadness
34,i wish that i could just stop time for even just a second to take a deep breath recollect myself and relive all those happy moments when i didn t feel so stressed,sadness
35,i really feel that i am being punished for having a job that i cant just always ask off,sadness
36,i truax asked if anyone had any info about the pelican that was over at the fishing pond and we were feeling bad that he was so far from home i m assuming it s a he but i don t really know just fyi,sadness
37,i feel like clyde isnt treating me like he should i jump to conclusions and have this awful scenario i have made in my head that makes perfect sense and i am driving myself nuts with it,sadness
38,i started doing a word study on this idea of defeat and feeling defeated,sadness
39,ive ever made you feel disappointed with my behavior,sadness
40,i just feel like an empty box or something hm,sadness
41,i feel like i m being so whiney and unreasonable heh,sadness
42,i feel so ugly and insecure,sadness
43,i feel so dirty what is,sadness
44,i feel awful now like he didnt want to talk,sadness
45,i review my life feeling so very unimportant but acknowledging that most of us are stuck in the same rat cage in one way or another,sadness
46,i have avoided writing anything about the mlb because i feel completely inadequate writing about baseball but well see how this goes,sadness
47,i left the forum feeling disheartened and wondering if my own beliefs were really that far off base,sadness
48,i feel like im in for it now and how this kiss will be wonderfully vain,sadness
49,i get to easter i feel like ive missed my chance for virtue,sadness
50,i made him feel useless which does make no sense to me,sadness
51,i feel like i have some unpleasant tasks ahead of me such as discussing the ride with my grandpa things of that nature but instead of feeling like i should avoid them i know that i have to face them head on,sadness
52,i guess i feel damaged and someone like her shouldn t be around baggage,sadness
53,i began to feel lethargic a bit loopy i guess you could say,sadness
54,i feel i m the one being abused here mentally,sadness
55,i am feeling every emotional about the love inside and around me as the thanksgiving holiday comes to an end,sadness
56,i feel kinda dumb about that i was so proud of the fact that id been making progress and,sadness
57,i want to say to the single mothers who feel damaged and useless is that god invests in damaged goods,sadness
58,im not going to get all soppy on you as its a friday night ive just finished watching the glee cory tribute episode so im feeling rather emotional to put it lightly,sadness
59,i am hurting amp feeling weepy amp sad,sadness
60,i do not feel deprived giving up breads and pastas for the most part i struggle a ton with sugar chocolate mostly and alcohol,sadness
61,i had learned and being told to do it a completely new way which still had many of the same challenges with the added benefit of feeling like you have just been told that everything you did up to this point was worthless,sadness
62,i feel miserable sooooo sad,sadness
63,i moved back home from my second year student house and surprisingly its got me feeling a little bit sentimental,sadness
64,i started this blog to first help me deal and maybe touch someone feeling as hopeless,sadness
65,i feel deprived or,sadness
66,im feeling physcially exhausted,sadness
67,i feel like any communication we do have will all be in vain,sadness
68,i am still really sick and feeling crappy,sadness
69,i feel as though my work is in vain,sadness
70,i conduct this i feel really homesick,sadness
71,i feel unprotected from prying eyes and that is always just when i wake up,sadness
72,i feel that quite often singletons are abused because theyre easy to understand by everybody theyre used as a mechanism for getting global data into an oo design and they are used because it is easy to circumvent object lifecycle management or really thinking about how you can do a from inside b,sadness
73,ive just been feeling ignored,sadness
74,i may not be able to get together with you whether because i feel beaten down by this neurological demon on that plagues my dear child or simply because of time constraints but please dont stop reaching out to me,sadness
75,i feel kinf of lame that this is so short,sadness
76,i dont do anything i feel like im being ungrateful,sadness
77,i actually enjoy my job because i can do it for free however i feel my passion is suffering because of my career confused,sadness
78,i have still been feeling numb i cant feel myself chewing or swallowing food,sadness
79,im tired of being alone feeling unloved unappreciated taken for granted,sadness
80,i am feeling very low and i listen to any of obey s albums i become transformed immediately,sadness
81,i tend to give ty an array of things to create with so that he can do whatever he is feeling and to experiment in many ways in one messy session,sadness
82,i feel so sorry to say it but we have many examples of mormons in high up places specifically in politics that do not uphold lds beliefs in any way shape or form and i am ashamed to associate them with the church as i understand it,sadness
83,im left there feeling stupid and unappreciated,sadness
84,i love the smell the way it looks the taste the creaminess of a good caffe latte the way it makes me feel life would be very dull without coffee,sadness
85,i feel unloved i am certainly not at,sadness
86,i was feeling really really low today,sadness
87,im so sick of people who are obviously well off and living a good enough life causing stupid unnecessary troubles for themselves which probably spreads to everyone else and makes the others feel troubled by their cause,sadness
88,i wake up every day with the feeling that i dont deserve to be here and it is only a shitty restaurant,sadness
89,im tired and feeling really lethargic,sadness
90,i just have feeling sorry for myself days,sadness
91,i feel stupid and contagious here we are now entertain us a mulatto an albino a mosquito my libido yeah hey yay and i forget just why i taste oh yeah i guess it makes me smile i found it hard its hard to find oh well whatever nevermind hello hello hello how low,sadness
92,i feel dirty width,sadness
93,i feel like i am past it and doomed to a lifetime of bench wiping and whinging,sadness
94,i am going to have to learn how to sit with feeling awful,sadness
95,i feel their apologies fake and their threats to emitionally and physically hurt me can not be taken back,sadness
96,i just feel unfortunate for our players to have one play that s going to decide the game and jerry didn t have a chance to catch it,sadness
97,im feeling victimized,sadness
98,im still feeling emotional about it,sadness
99,i studied in oslo for two years and graduated with a c something i remember feeling very unhappy about since im more of an a b type student,sadness
100,i feel this is my only foolish bet,sadness
101,im sure its hormones or partly my depression but its days like these that make me feel a bit hopeless,sadness
102,i bought lucas a sticker book and some egg custards which mummy may have tested too as he really was feeling quite sorry for himself,sadness
103,i feel foolish in an optimist,sadness
104,i always say its always back to the same issues where i just feel unimportant to you,sadness
105,i feel numb to their words,sadness
106,i am not unfeeling or ungrateful,sadness
107,i love how i wrote about my kids because for a long time i was feeling like a really crappy mother im surprised by how positive i was some of the time,sadness
108,i think this is naito s real feeling that these could really have damaged his career,sadness
109,i dont understand why i feel so rotten i just know that i feel really upset all of a suddent sometimes and i just always feel really hurt about something and im not sure what it is,sadness
110,i still feel kind of empty and useless,sadness
111,i might hate feeling awkward and encumbered and stretched and sore all the time,sadness
112,im feeling a bit beaten my body flags pushed beyond its limit this week,sadness
113,i am thankful for this gauge that tells me everything is normal but i just feel like a pathetic puddle of yuckiness,sadness
114,i feel as if sethe is experiancing moments that reflect on her past in order to remind her of something tragic that happened somewhere in sethes past,sadness
115,im feeling crappy its allergies,sadness
116,i have been feeling homesick lately i miss the mountains and the lake and the chipmunks,sadness
117,i feel inadequate and yet i feel used,sadness
118,ive found myself more and more sensitive yet still not voicing my feelings to those who have hurt them,sadness
119,i feel like a failure because i broke my wife s heart over this and made her cry a lot,sadness
120,i feel as lousy today as i did yesterday,sadness
121,i have wished that i had a desk job in an office that was surrounded by people just so it wouldnt feel half as lonely,sadness
122,i know you may not mean to hurt me but truth be told i feel disturbed,sadness
123,i feel helpless and hopeless at the moment because im not there for these people i love so dearly,sadness
124,i feel horrible that i am questioning him and his wisdom part of my catholic upbringing i guess,sadness
125,i feel he was a tragic and brillant soul lonely and misunderstood and today would have had trouble finding a publisher for his gross subject matter,sadness
126,i am out of town visiting jamie and my friends i get to feeling so lonely so desperate for a feeling of home,sadness
127,ive been feeling kind of listless i find it hard to feel any joy at all,sadness
128,i get the feeling i just want to lay in bed all day with my messy dirty hair and my semi stuffed nose,sadness
129,i feel emotionally abused by the keyboard because it keeps telling me what to do,sadness
130,i feel a bit disturbed,sadness
131,i know i want to separate i feel disturbed by enjoying our conversation,sadness
132,i hate when it rains seeing the sky so gloomy makes me feel gloomy,sadness
133,i want to feel gloomy,sadness
134,i mean youd feel a little shitty about it but still,sadness
135,i call my mom vent and whine as daughters do but alas i only hang up feeling homesick,sadness
136,i love this steampunk series and i m feeling a bit stupid to have been hesitant to read this series before i won those books,sadness
137,i was only left feeling bitterly disappointed and hopeless,sadness
138,i feel as disheartened as well,sadness
139,i should feel guilty about this as a westerner or that i must feel duty bound to oppose obama as the instigator of such mayhem,sadness
140,i feel as i sit here at my computer and contemplate what to write on my blog my blog that i have ignored for far too long,sadness
141,i am feeling particularly crappy then i attempt to evaluate exactly which factors are contributing to this crappy ness,sadness
142,i feel really alone the last few days,sadness
143,i fear he may be lost but thanks to some wonderful people im not feeling as devastated as i have been the last few weeks,sadness
144,i guess this point kind of links to something i wrote about in a previous post about how i feel a little victimized by some jokes that my friends make,sadness
145,i havent done any jillian michaels workouts since october and i feel lousy about that,sadness
146,i am left feeling physically drained and exhausted,sadness
147,i was reading a post by my friend lexi at mostly true stuff about the many things that make us feel like we re crappy parents,sadness
148,i didnt feel deprived at all,sadness
149,i feel totally regretful,sadness
150,i worry that there is some part of me that is irreparably damaged and even when my goals are reached maybe ill still feel unhappy and incomplete,sadness
151,i swear i could hear the loud ticks while i found myself feeling all awkward not knowing what to talk about next,sadness
152,i can already feel how incredibly unimportant i am in your life,sadness
153,i truly couldnt get past the feeling that king herself hated jodi,sadness
154,i feel so utterly useless lately because all i want to do is lay around,sadness
155,i admit to feeling a bit humiliated,sadness
156,i really feel sorry for is those who do not claim to feel gods presence in the world,sadness
157,i cried feeling numb like i forgot why i was crying in the first place,sadness
158,i just want to stay at home hide myself from everyone because i feel ugly unwanted,sadness
159,i like people who arent afraid to blurt out a curse word when its appropriate for the situation and they are truly feeling really really crappy about whats going on in their lives,sadness
160,i feel humiliated keeps writing facebook page much misses generally public affection facebook,sadness
